seq_id,start,end,strand,type,gbkey,gene_biotype,locus_tag,product,name,old_locus_tag,Function
NC_006351.1,2418016,2418900,-,CDS,CDS,NA,BPS_RS28360,(2E%2C6E)-farnesyl diphosphate synthase,BPS_RS28360,BPSS1763,Central/Intermediary_metabolism
NC_006351.1,920987,921448,-,CDS,CDS,NA,BPS_RS22395,(2Fe-2S)-binding protein,BPS_RS22395,BPSS0680,Small_molecules_degradation
NC_006350.1,2760648,2761370,-,CDS,CDS,NA,BPS_RS12260,(Fe-S)-binding protein,BPS_RS12260,BPSL2294,Conserved_hypothetical_proteins
NC_006351.1,448742,449548,+,CDS,CDS,NA,BPS_RS20400,(Fe-S)-binding protein,BPS_RS20400,BPSS0321,Conserved_hypothetical_proteins
NC_006351.1,752895,754820,+,CDS,CDS,NA,BPS_RS21685,(Fe-S)-binding protein,BPS_RS21685,BPSS0551,Cell_envelope
NC_006351.1,2256599,2257126,-,CDS,CDS,NA,BPS_RS27665,(R)-specific enoyl-CoA hydratase RipB/Ich,ripB,BPSS1638,Putative_assignment
NC_006350.1,2591671,2594247,+,CDS,CDS,NA,BPS_RS11530,[protein-PII] uridylyltransferase,BPS_RS11530,BPSL2161,Macromolecule_biosynthesis/modification
NC_006350.1,3735739,3736494,-,CDS,CDS,NA,BPS_RS16875,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase,hisA,BPSL3134,Amino_acid_biosynthesis
NC_006350.1,756145,756924,-,CDS,CDS,NA,BPS_RS03505,1-acyl-sn-glycerol-3-phosphate acyltransferase,BPS_RS03505,BPSL0665,Putative_assignment
NC_006350.1,3215361,3216230,-,CDS,CDS,NA,BPS_RS14435,1-acyl-sn-glycerol-3-phosphate acyltransferase,BPS_RS14435,BPSL2688,Macromolecule_biosynthesis/modification
NC_006351.1,1812770,1813786,-,CDS,CDS,NA,BPS_RS25955,1-aminocyclopropane-1-carboxylate deaminase,BPS_RS25955,BPSS1324,Small_molecules_degradation
NC_006350.1,2584004,2585200,-,CDS,CDS,NA,BPS_RS11490,1-deoxy-D-xylulose-5-phosphate reductoisomerase,BPS_RS11490,BPSL2153,Central/Intermediary_metabolism
NC_006351.1,2416028,2417932,-,CDS,CDS,NA,BPS_RS28355,1-deoxy-D-xylulose-5-phosphate synthase,dxs,BPSS1762,Cofactor/carriers_biosynthesis
NC_006351.1,2645187,2646128,-,CDS,CDS,NA,BPS_RS29450,1-phosphofructokinase family hexose kinase,BPS_RS29450,BPSS1957,Energy_metabolism_-_carbon
NC_006350.1,3838612,3839610,+,CDS,CDS,NA,BPS_RS17410,1%2C2-phenylacetyl-CoA epoxidase subunit A,paaA,BPSL3230,Small_molecules_degradation
NC_006350.1,3839673,3839957,+,CDS,CDS,NA,BPS_RS17415,1%2C2-phenylacetyl-CoA epoxidase subunit B,paaB,BPSL3231,Small_molecules_degradation
NC_006350.1,2489273,2491489,+,CDS,CDS,NA,BPS_RS11065,1%2C4-alpha-glucan branching protein GlgB,glgB,BPSL2076,Macromolecule_biosynthesis/modification
NC_006350.1,3569181,3569771,-,CDS,CDS,NA,BPS_RS16065,1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD,ampD,BPSL2993,Hypothetical_proteins
NC_006351.1,1508327,1509037,+,CDS,CDS,NA,BPS_RS24855,1%2C6-didemethyltoxoflavin N1-methyltransferase,BPS_RS24855,BPSS1123,Hypothetical_proteins
NC_006351.1,2583344,2584138,+,CDS,CDS,NA,BPS_RS29165,1%2C6-dihydroxycyclohexa-2%2C4-diene-1-carboxylate dehydrogenase,BPS_RS29165,BPSS1906,Small_molecules_degradation
NC_006350.1,1431769,1433299,+,rRNA,rRNA,NA,BPS_RS06550,16S ribosomal RNA,BPS_RS06550,BPSLr01,-
NC_006350.1,3627358,3628888,-,rRNA,rRNA,NA,BPS_RS16335,16S ribosomal RNA,BPS_RS16335,BPSLr06,-
NC_006350.1,3834669,3836199,-,rRNA,rRNA,NA,BPS_RS17395,16S ribosomal RNA,BPS_RS17395,BPSLr09,-
NC_006351.1,485351,486881,+,rRNA,rRNA,NA,BPS_RS20565,16S ribosomal RNA,BPS_RS20565,BPSSr01,-
NC_006350.1,752212,753039,+,CDS,CDS,NA,BPS_RS03485,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA,rsmA,BPSL0661,Macromolecule_biosynthesis/modification
NC_006350.1,3890678,3891565,+,CDS,CDS,NA,BPS_RS17660,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,rsmI,BPSL3275,Putative_assignment
NC_006350.1,3615182,3616123,-,CDS,CDS,NA,BPS_RS16285,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,rsmH,BPSL3033,Ribosome_constituents
NC_006350.1,140228,141637,+,CDS,CDS,NA,BPS_RS00650,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,rsmB,BPSL0125,Conserved_hypothetical_proteins
NC_006350.1,4044790,4045488,-,CDS,CDS,NA,BPS_RS18395,16S rRNA (guanine(527)-N(7))-methyltransferase RsmG,rsmG,BPSL3407,Macromolecule_biosynthesis/modification
NC_006350.1,569732,570358,+,CDS,CDS,NA,BPS_RS02710,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,rsmD,BPSL0515,Conserved_hypothetical_proteins
NC_006350.1,3528052,3528819,+,CDS,CDS,NA,BPS_RS15860,16S rRNA (uracil(1498)-N(3))-methyltransferase,BPS_RS15860,BPSL2956,Ribosome_constituents
NC_006350.1,1082519,1083241,-,CDS,CDS,NA,BPS_RS04910,16S rRNA pseudouridine(516) synthase,BPS_RS04910,BPSL0930,Macromolecule_biosynthesis/modification
