name_Sanger,name,Accession.no,Source,Country,year,ST,cluster_poppunk_old,cluster_poppunk_updated,Collection,Continent
10156_3#1,ERR339069,ERR339069,human,Thailand,2010,70,1,1,Claire,Asia
10156_3#10,ERR339078,ERR339078,human,Thailand,2010,315,13,13,Claire,Asia
10156_3#11,ERR339079,ERR339079,human,Thailand,2010,176,2,2_2,Claire,Asia
10156_3#12,ERR339080,ERR339080,human,Thailand,2010,Novel,16,16,Claire,Asia
10156_3#13,ERR339081,ERR339081,human,Thailand,2010,208,10,10,Claire,Asia
10156_3#14,ERR339082,ERR339082,human,Thailand,2010,197,4,4,Claire,Asia
10156_3#15,ERR339083,ERR339083,human,Thailand,2010,206,3,3,Claire,Asia
10156_3#16,ERR339084,ERR339084,human,Thailand,2010,228,34,34,Claire,Asia
10156_3#17,ERR339085,ERR339085,human,Thailand,2010,34,4,4,Claire,Asia
10156_3#18,ERR339086,ERR339086,human,Thailand,2010,654,1,1,Claire,Asia
10156_3#19,ERR339087,ERR339087,human,Thailand,2010,70,1,1,Claire,Asia
10156_3#2,ERR339070,ERR339070,human,Thailand,2010,165,28,28,Claire,Asia
10156_3#20,ERR339088,ERR339088,human,Thailand,2010,60,2,2_2,Claire,Asia
10156_3#21,ERR339089,ERR339089,human,Thailand,2010,47,20,20,Claire,Asia
10156_3#22,ERR339090,ERR339090,human,Thailand,2010,219,23,23,Claire,Asia
10156_3#23,ERR339091,ERR339091,human,Thailand,2010,208,10,10,Claire,Asia
10156_3#24,ERR339092,ERR339092,human,Thailand,2010,205,30,30,Claire,Asia
10156_3#25,ERR339093,ERR339093,human,Thailand,2010,212,9,9,Claire,Asia
10156_3#26,ERR339094,ERR339094,human,Thailand,2010,9,3,3,Claire,Asia
10156_3#27,ERR339095,ERR339095,human,Thailand,2010,411,8,8,Claire,Asia
10156_3#28,ERR339096,ERR339096,human,Thailand,2010,34,80,80,Claire,Asia
10156_3#29,ERR339097,ERR339097,human,Thailand,2010,207,8,8,Claire,Asia
10156_3#3,ERR339071,ERR339071,human,Thailand,2010,211,9,9,Claire,Asia
10156_3#30,ERR339098,ERR339098,human,Thailand,2010,54,6,6,Claire,Asia
10156_3#31,ERR339099,ERR339099,human,Thailand,2010,849,99,99,Claire,Asia
10156_3#32,ERR339100,ERR339100,human,Thailand,2010,1811,7,7,Claire,Asia
10156_3#33,ERR339101,ERR339101,human,Thailand,2010,833,3,3,Claire,Asia
10156_3#34,ERR339102,ERR339102,human,Thailand,2010,Novel,100,100,Claire,Asia
10156_3#35,ERR339103,ERR339103,human,Thailand,2010,208,10,10,Claire,Asia
10156_3#36,ERR339104,ERR339104,human,Thailand,2010,208,10,10,Claire,Asia
10156_3#37,ERR339105,ERR339105,human,Thailand,2010,Novel,3,3,Claire,Asia
10156_3#38,ERR339106,ERR339106,human,Thailand,2010,685,13,13,Claire,Asia
10156_3#39,ERR339107,ERR339107,human,Thailand,2010,512,1,1,Claire,Asia
10156_3#40,ERR339108,ERR339108,human,Thailand,2010,34,4,4,Claire,Asia
10156_3#41,ERR339109,ERR339109,human,Thailand,2010,70,1,1,Claire,Asia
10156_3#42,ERR339110,ERR339110,human,Thailand,2010,176,2,2_2,Claire,Asia
10156_3#43,ERR339111,ERR339111,human,Thailand,2010,9,3,3,Claire,Asia
10156_3#44,ERR339112,ERR339112,human,Thailand,2010,58,2,2_3,Claire,Asia
10156_3#45,ERR339113,ERR339113,human,Thailand,2010,197,4,4,Claire,Asia
10156_3#46,ERR339114,ERR339114,human,Thailand,2010,Novel,3,3,Claire,Asia
10156_3#47,ERR339115,ERR339115,human,Thailand,2010,16,26,26,Claire,Asia
10156_3#48,ERR339116,ERR339116,human,Thailand,2010,313,39,39,Claire,Asia
10156_3#49,ERR339117,ERR339117,human,Thailand,2010,1532,45,45,Claire,Asia
10156_3#5,ERR339073,ERR339073,human,Thailand,2010,99,2,2,Claire,Asia
10156_3#50,ERR339118,ERR339118,human,Thailand,2010,34,4,4,Claire,Asia
10156_3#51,ERR339119,ERR339119,human,Thailand,2010,309,16,16,Claire,Asia
10156_3#52,ERR339120,ERR339120,human,Thailand,2010,531,18,18,Claire,Asia
10156_3#53,ERR339121,ERR339121,human,Thailand,2010,47,20,20,Claire,Asia
10156_3#54,ERR339122,ERR339122,human,Thailand,2010,56,2,2,Claire,Asia
10156_3#55,ERR339123,ERR339123,human,Thailand,2010,1110,148,148,Claire,Asia
10156_3#56,ERR339124,ERR339124,human,Thailand,2010,90,149,149,Claire,Asia
10156_3#57,ERR339125,ERR339125,human,Thailand,2010,208,10,10,Claire,Asia
10156_3#58,ERR339126,ERR339126,human,Thailand,2010,208*,10,10,Claire,Asia
10156_3#59,ERR339127,ERR339127,human,Thailand,2010,1871,2,2_3,Claire,Asia
10156_3#6,ERR339074,ERR339074,human,Thailand,2010,Novel,8,8,Claire,Asia
10156_3#60,ERR339128,ERR339128,human,Thailand,2010,Novel,101,101,Claire,Asia
10156_3#7,ERR339075,ERR339075,human,Thailand,2010,56,2,2,Claire,Asia
10156_3#9,ERR339077,ERR339077,human,Thailand,2010,Novel,4,4,Claire,Asia
10156_4#1,ERR339129,ERR339129,human,Thailand,2011,48,2,2,Claire,Asia
10156_4#10,ERR339138,ERR339138,human,Thailand,2011,84,1,1,Claire,Asia
10156_4#11,ERR339139,ERR339139,human,Thailand,2011,165,28,28,Claire,Asia
10156_4#12,ERR339140,ERR339140,human,Thailand,2011,60,2,2_2,Claire,Asia
10156_4#13,ERR339141,ERR339141,human,Thailand,2011,174,7,7,Claire,Asia
